id,school_code,program_id,year,min_fee,max_fee,currency,unit,description,note,source_url,created_at
3f7ce5fb-2efa-42d5-b953-2e63c3450457,QHI,a1888a08-3161-4bc6-825b-230eb122ba0e,2025,15000000,17500000,VND,học kỳ,Học phí tạm tính theo quy định cơ chế tự chủ và định mức học phí của ĐHQGHN năm học 2025-2026.,Sinh viên ngành Sư phạm Công nghệ được hưởng chính sách hỗ trợ học phí và chi phí sinh hoạt theo Nghị định số 116/2020/NĐ-CP.,https://tuyensinh.uet.vnu.edu.vn,2026-05-28 15:00:00+00
31ae5ba6-70e0-433d-9fd3-86c5dd9bb854,QHI,86054f0c-5707-4a0d-891d-39464fb5e0f4,2025,15000000,17500000,VND,học kỳ,Học phí tạm tính theo quy định cơ chế tự chủ và định mức học phí của ĐHQGHN năm học 2025-2026.,Sinh viên ngành Sư phạm Công nghệ được hưởng chính sách hỗ trợ học phí và chi phí sinh hoạt theo Nghị định số 116/2020/NĐ-CP.,https://tuyensinh.uet.vnu.edu.vn,2026-05-28 15:00:00+00
274455c3-8df4-4b3d-aac7-ee1684b2bef2,QHI,03c3aa53-3974-4629-919d-509208330e7f,2025,15000000,17500000,VND,học kỳ,Học phí tạm tính theo quy định cơ chế tự chủ và định mức học phí của ĐHQGHN năm học 2025-2026.,Sinh viên ngành Sư phạm Công nghệ được hưởng chính sách hỗ trợ học phí và chi phí sinh hoạt theo Nghị định số 116/2020/NĐ-CP.,https://tuyensinh.uet.vnu.edu.vn,2026-05-28 15:00:00+00
0162b095-fea9-4bb4-9cb0-4eb7b1638ce5,QHI,79c818e3-a7cd-4d70-804c-b34b605e9499,2025,15000000,17500000,VND,học kỳ,Học phí tạm tính theo quy định cơ chế tự chủ và định mức học phí của ĐHQGHN năm học 2025-2026.,Sinh viên ngành Sư phạm Công nghệ được hưởng chính sách hỗ trợ học phí và chi phí sinh hoạt theo Nghị định số 116/2020/NĐ-CP.,https://tuyensinh.uet.vnu.edu.vn,2026-05-28 15:00:00+00
21dfaa9b-ab4c-4019-aa8d-3508ad1e79d1,QHI,76b955e6-6ad4-4ed4-8fa4-53a30e59397a,2025,15000000,17500000,VND,học kỳ,Học phí tạm tính theo quy định cơ chế tự chủ và định mức học phí của ĐHQGHN năm học 2025-2026.,Sinh viên ngành Sư phạm Công nghệ được hưởng chính sách hỗ trợ học phí và chi phí sinh hoạt theo Nghị định số 116/2020/NĐ-CP.,https://tuyensinh.uet.vnu.edu.vn,2026-05-28 15:00:00+00
e3688866-fcd3-4bb7-be2a-6be104fd63be,QHI,b3c661bc-1aaa-43a5-8e74-cebe87fd533b,2025,15000000,17500000,VND,học kỳ,Học phí tạm tính theo quy định cơ chế tự chủ và định mức học phí của ĐHQGHN năm học 2025-2026.,Sinh viên ngành Sư phạm Công nghệ được hưởng chính sách hỗ trợ học phí và chi phí sinh hoạt theo Nghị định số 116/2020/NĐ-CP.,https://tuyensinh.uet.vnu.edu.vn,2026-05-28 15:00:00+00
5b9f7b7b-f466-4647-8f7c-6b1e73d764de,QHI,6745735f-cfcf-4e11-b2e1-4929b1696963,2025,15000000,17500000,VND,học kỳ,Học phí tạm tính theo quy định cơ chế tự chủ và định mức học phí của ĐHQGHN năm học 2025-2026.,Sinh viên ngành Sư phạm Công nghệ được hưởng chính sách hỗ trợ học phí và chi phí sinh hoạt theo Nghị định số 116/2020/NĐ-CP.,https://tuyensinh.uet.vnu.edu.vn,2026-05-28 15:00:00+00
c7ee5ff8-2f21-429d-bca2-7198e7c55019,QHI,c2c26497-e527-4896-aa4a-54cf87274468,2025,15000000,17500000,VND,học kỳ,Học phí tạm tính theo quy định cơ chế tự chủ và định mức học phí của ĐHQGHN năm học 2025-2026.,Sinh viên ngành Sư phạm Công nghệ được hưởng chính sách hỗ trợ học phí và chi phí sinh hoạt theo Nghị định số 116/2020/NĐ-CP.,https://tuyensinh.uet.vnu.edu.vn,2026-05-28 15:00:00+00
0506eebf-4dfa-4216-9ddb-b5c3a7656794,QHI,2ef6dffa-991b-4728-95ee-1748d73c89d5,2025,0,0,VND,học kỳ,Học phí tạm tính theo quy định cơ chế tự chủ và định mức học phí của ĐHQGHN năm học 2025-2026.,Sinh viên ngành Sư phạm Công nghệ được hưởng chính sách hỗ trợ học phí và chi phí sinh hoạt theo Nghị định số 116/2020/NĐ-CP.,https://tuyensinh.uet.vnu.edu.vn,2026-05-28 15:00:00+00
f9d0b5cb-f6c8-4f35-bc0b-be9ca7d823f1,QHI,a870896b-5f14-4f5f-be31-166a0e91729d,2025,15000000,17500000,VND,học kỳ,Học phí tạm tính theo quy định cơ chế tự chủ và định mức học phí của ĐHQGHN năm học 2025-2026.,Sinh viên ngành Sư phạm Công nghệ được hưởng chính sách hỗ trợ học phí và chi phí sinh hoạt theo Nghị định số 116/2020/NĐ-CP.,https://tuyensinh.uet.vnu.edu.vn,2026-05-28 15:00:00+00
95d48422-593f-4af2-9cc4-a7b24822a6f6,QHI,0b8cea27-167b-4bb2-8bb2-1d1bfc856a01,2025,15000000,17500000,VND,học kỳ,Học phí tạm tính theo quy định cơ chế tự chủ và định mức học phí của ĐHQGHN năm học 2025-2026.,Sinh viên ngành Sư phạm Công nghệ được hưởng chính sách hỗ trợ học phí và chi phí sinh hoạt theo Nghị định số 116/2020/NĐ-CP.,https://tuyensinh.uet.vnu.edu.vn,2026-05-28 15:00:00+00
