id,program_id,combination_code,year,method_code,source_url
b6012960-8189-4b61-8b43-937715d658f2,a1888a08-3161-4bc6-825b-230eb122ba0e,A00,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
d9e51168-b96f-49a6-b43d-a58572c1122a,a1888a08-3161-4bc6-825b-230eb122ba0e,A01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
40342442-b718-4c05-92e3-056146231df2,a1888a08-3161-4bc6-825b-230eb122ba0e,D01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
7556a917-4702-4845-9185-83a6277ba768,86054f0c-5707-4a0d-891d-39464fb5e0f4,A00,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
476d0c59-c67a-4145-881e-94fc1ae6156d,86054f0c-5707-4a0d-891d-39464fb5e0f4,A01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
77debba9-dafd-4e29-be32-0bd4c27a6db8,86054f0c-5707-4a0d-891d-39464fb5e0f4,D01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
63695736-bf9c-4838-89d8-25bf9f65cb0b,03c3aa53-3974-4629-919d-509208330e7f,A00,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
9f12b42b-af05-437d-8043-8a8a13e8fc7e,03c3aa53-3974-4629-919d-509208330e7f,A01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
b8de5195-5ed8-46bd-8957-39bef65b05db,03c3aa53-3974-4629-919d-509208330e7f,D01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
6f26716b-2c1f-4137-9d18-4b5d244db946,79c818e3-a7cd-4d70-804c-b34b605e9499,A00,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
537fcbf8-2e5e-44cd-bd66-70e6cbe77a06,79c818e3-a7cd-4d70-804c-b34b605e9499,A01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
43c967c9-e270-4f12-a2f7-43e389549458,79c818e3-a7cd-4d70-804c-b34b605e9499,D01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
1e820463-3011-497a-b302-0e6cc3fd880a,76b955e6-6ad4-4ed4-8fa4-53a30e59397a,A00,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
a96af8cf-ba66-40d9-8664-4998745608f5,76b955e6-6ad4-4ed4-8fa4-53a30e59397a,A01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
57128cbe-0703-46b0-a479-5e300a271001,76b955e6-6ad4-4ed4-8fa4-53a30e59397a,D01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
4be30050-5cb5-4cd6-9a2b-70711a68c094,b3c661bc-1aaa-43a5-8e74-cebe87fd533b,A00,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
e02569a0-f337-488b-b3c4-5c885fa5494c,b3c661bc-1aaa-43a5-8e74-cebe87fd533b,A01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
f1508c20-0a80-4d8b-9139-36d4ef79f031,b3c661bc-1aaa-43a5-8e74-cebe87fd533b,D01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
a0c8fd4f-cae0-4eb3-b894-c997b380bff8,6745735f-cfcf-4e11-b2e1-4929b1696963,A00,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
1534b286-5308-4a65-aec6-65a1f3d28d19,6745735f-cfcf-4e11-b2e1-4929b1696963,A01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
d5f8e306-988e-4227-8bfe-d8f5114e0ddb,6745735f-cfcf-4e11-b2e1-4929b1696963,D01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
124176f1-9ed5-4b00-ae99-b20597986260,c2c26497-e527-4896-aa4a-54cf87274468,A00,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
56a32f86-873d-4253-95e4-a14839a27d40,c2c26497-e527-4896-aa4a-54cf87274468,A01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
86c0b3d0-cc5f-44e1-bb42-fe4535789098,c2c26497-e527-4896-aa4a-54cf87274468,D01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
0ce7b16b-4544-4302-95a2-a9c82117f744,2ef6dffa-991b-4728-95ee-1748d73c89d5,A00,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
cdc4ab2f-5a91-4f02-b9f9-c22b01a5b70e,2ef6dffa-991b-4728-95ee-1748d73c89d5,A01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
65bcad6e-18f6-4d1c-8b7a-bcd41c0da095,2ef6dffa-991b-4728-95ee-1748d73c89d5,D01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
7941855d-fc13-4985-b3ab-bc487394f8a3,a870896b-5f14-4f5f-be31-166a0e91729d,A00,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
8f6f60c0-925f-4057-a4c6-2b48ada8d30d,a870896b-5f14-4f5f-be31-166a0e91729d,A01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
94af8eaf-74e3-4f3c-a585-b7f530fe3e0a,a870896b-5f14-4f5f-be31-166a0e91729d,D01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
431722c8-bc20-4208-885f-41b0b1d28dc4,0b8cea27-167b-4bb2-8bb2-1d1bfc856a01,A00,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
732173ef-d05c-4e26-bca8-06efc963f3ee,0b8cea27-167b-4bb2-8bb2-1d1bfc856a01,A01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
2f15122c-0056-42fe-940c-e087fdea885c,0b8cea27-167b-4bb2-8bb2-1d1bfc856a01,D01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
3de8b211-b25a-4cf4-856b-49d94505249c,613c6bb4-2d60-4e83-bcff-f36325d74ddb,A00,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
9106ec37-a345-4d1a-8b00-5db504eae390,613c6bb4-2d60-4e83-bcff-f36325d74ddb,A01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
1150d6bc-eed8-42ab-a08a-9f354410e3a7,613c6bb4-2d60-4e83-bcff-f36325d74ddb,D01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
7f5dcd7c-346f-411a-8a95-b14d7fda5aa1,b6a7e22f-0321-40df-be1b-553db9298261,A00,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
6c5b2bdb-f4b9-486c-9f7c-cc922e9bb2e8,b6a7e22f-0321-40df-be1b-553db9298261,A01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
51ac6eff-db70-4ebf-a8e6-cca5c9294ac0,b6a7e22f-0321-40df-be1b-553db9298261,D01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
945c43e8-aeaf-4246-8378-20e26e002564,0f08fa42-e70d-443b-b58a-9e6ec2274703,A00,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
1e090015-e7cb-48b0-acba-ca8d3eaecdab,0f08fa42-e70d-443b-b58a-9e6ec2274703,A01,2025,THPT,https://tuyensinh.uet.vnu.edu.vn
